COMISI?ÙN NACIONAL DEL AGUA,,,,,
COORDINACI?ÙN GENERAL DEL SERVICIO METEOROL?ÙGICO NACIONAL,,,,,
BASE DE DATOS CLIMATOL?ÙGICA NACIONAL ,,,,,
,,,,,
REGISTRO DIARIO HIST?ÙRICO,,,,,
EMISI?ÙN   : 21/03/2025 ,,,,,
,,,,,
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; ,,,,,
CON LA INFORMACI?ÙN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS ,,,,,
,,,,,
 ESTACI?ÙN  : 22057 ,,,,,
 NOMBRE    : PE?ÊAMILLER (DGE) ,,,,,
 ESTADO    : QUER?ÎTARO ,,,,,
 MUNICIPIO : PE?ÊAMILLER ,,,,,
 SITUACI?ÙN : OPERANDO ,,,,,
 CVE-OMM   :   ,,,,,
 LATITUD   : 21.05 ?? ,,,,,
 LONGITUD  : -99.8 ?? ,,,,,
 ALTITUD   : 1341 msnm ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FECHA,PRECIP,EVAP,TMAX,TMIN,
,(mm),(mm),(??C,),(??C)
9/2/2001,0,4.11,29,11,
10/2/2001,0,5.51,26,12,
11/2/2001,0,4.45,29,13,
12/2/2001,0,4.13,29,10,
13/02/2001,0,5.25,32,10,
14/02/2001,0,4.87,33,11,
15/02/2001,0,6.78,34,11,
16/02/2001,0,6.4,33,12,
17/02/2001,0,4.1,21,12,
18/02/2001,0,3.15,24,12,
19/02/2001,0,6.62,32,9,
20/02/2001,0,5.74,33,9,
21/02/2001,0,4.95,32,9,
22/02/2001,0,4.1,28,11,
23/02/2001,0,4.18,32,13,
24/02/2001,0,4.4,31,13,
25/02/2001,0,7.09,32,12,
26/02/2001,6.3,NULO,30,13,
27/02/2001,4.2,0.37,31,11,
28/02/2001,19,NULO,32,11,
1/3/2001,2.3,1.25,29,12,
2/3/2001,1.1,2.94,25,13,
3/3/2001,0,7,29,12,
4/3/2001,0,7.42,30,9,
5/3/2001,0,3.48,21,11,
6/3/2001,0,4.61,30,8,
7/3/2001,0,5.04,31,9,
8/3/2001,0,7.5,35,10,
9/3/2001,0,7.12,31,10,
10/3/2001,0,5.6,34,11,
11/3/2001,0,8.05,35,12,
12/3/2001,0,8.4,37,12,
13/03/2001,0,6.63,35,15,
14/03/2001,0,8.49,35,14,
15/03/2001,0,6.48,36,15,
16/03/2001,0,6.18,28,14,
17/03/2001,0,5.84,29,11,
18/03/2001,0,5.62,33,11,
19/03/2001,0,5.16,26,12,
20/03/2001,0,5.82,25,12,
21/03/2001,0,6.86,30,7,
22/03/2001,0,6.92,34,9,
23/03/2001,0,7.5,34,10,
24/03/2001,0,7.04,29,10,
25/03/2001,1.1,6.48,29,13,
26/03/2001,0,4.37,32,13,
27/03/2001,0,7.19,33,14,
28/03/2001,0,8.85,33.5,13,
29/03/2001,0,9.38,35,13,
30/03/2001,0,7.68,36,10,
31/03/2001,0,8.52,36,12,
1/5/2001,2.2,3.59,32,17,
2/5/2001,0,5.24,35,16,
3/5/2001,0,3.77,33,17,
4/5/2001,0,5.47,35,16,
5/5/2001,0,6.51,34,18,
6/5/2001,0.01,7.43,32,17,
7/5/2001,0.01,5.22,33,17,
8/5/2001,0,5.51,28,17,
9/5/2001,0,8.28,29,15,
10/5/2001,2.6,2.56,30,12,
11/5/2001,13.3,3.75,31,14,
12/5/2001,0,4.94,27,13,
13/05/2001,0,4.59,27,13,
14/05/2001,0,5.97,29,14,
15/05/2001,0,6.32,30,15,
16/05/2001,0,7.74,33,15,
17/05/2001,0,10.83,38,16,
18/05/2001,0,8.31,37,17,
19/05/2001,0,8.76,38,18,
20/05/2001,1.1,6.18,39,19,
21/05/2001,3.1,5.2,39,19,
22/05/2001,4.1,1.63,26,17,
23/05/2001,1.1,4.36,32,17,
24/05/2001,0,7.19,35,17,
25/05/2001,0,9.4,35,14,
26/05/2001,0,8.41,35,16,
27/05/2001,0,9.66,33,15,
28/05/2001,0,9,35,13,
29/05/2001,0,9.05,37,14,
30/05/2001,0,8.33,36,17,
31/05/2001,0,7.58,35,18,
1/6/2001,0,6.72,33.5,19.5,
2/6/2001,0,7.02,34,18,
3/6/2001,0,7.42,35,19,
4/6/2001,0,8.22,37,18,
5/6/2001,8.3,6.75,36,19.5,
6/6/2001,0,6.83,34,19,
7/6/2001,0,8.77,35,18.5,
8/6/2001,0,6.01,35,19,
9/6/2001,0.01,8.04,35,19,
10/6/2001,0.01,5.9,35,20,
11/6/2001,21,6,36,21,
12/6/2001,0,7.18,35,18,
13/06/2001,1.3,3.81,36,18.5,
14/06/2001,0.01,8.01,35.5,18,
15/06/2001,1,3.09,30,19,
16/06/2001,0,5.49,29,18.5,
17/06/2001,0.01,5.23,29,16,
18/06/2001,0,9.29,29,16,
19/06/2001,0,6.73,32,15,
20/06/2001,1.9,4.01,30,16,
21/06/2001,0.01,5.47,32,18,
22/06/2001,0.01,7.45,32.5,18,
23/06/2001,18,6.45,31,19,
24/06/2001,0.01,5.73,31,15,
25/06/2001,0,5.72,30,16,
26/06/2001,0,7.83,30,16,
27/06/2001,21.5,7.15,27,17,
28/06/2001,0,7.12,29,16,
29/06/2001,0,5.72,32,17,
30/06/2001,0,5.99,32,18,
1/7/2001,10.5,NULO,30,17,
2/7/2001,0,6.56,29,15,
3/7/2001,0.01,4.08,28,17,
4/7/2001,0,6.35,27,18,
5/7/2001,0,6.11,29,18,
6/7/2001,0,6.96,31.5,17,
7/7/2001,0,9.13,31,16,
8/7/2001,8,NULO,32,16,
9/7/2001,0,4.36,33,16,
10/7/2001,0,8.47,33,16,
11/7/2001,0,8.15,32,16,
12/7/2001,0,8.91,32.5,17,
13/07/2001,0,7.69,33,16,
14/07/2001,0,9.2,33,17,
15/07/2001,0.01,7.17,35,19,
16/07/2001,0,6.74,34,19,
17/07/2001,0,7.2,34,19,
18/07/2001,0,9.42,33,17,
19/07/2001,0,7.52,33,18,
20/07/2001,0,8.75,32,17,
21/07/2001,0,8.23,34,18,
22/07/2001,2.2,NULO,35,16.5,
23/07/2001,56.3,NULO,35,17,
24/07/2001,9.3,NULO,34,16,
25/07/2001,8.5,NULO,28,18,
26/07/2001,2.1,3.11,33,19,
27/07/2001,0,8.08,33,19,
28/07/2001,0,7.86,33,18,
29/07/2001,1.7,7.9,33,17,
30/07/2001,0.01,7.17,32,16,
31/07/2001,0,7.07,32,17,
1/8/2001,0,9.46,32,18,
2/8/2001,3.6,3.06,31.5,16,
3/8/2001,0,4.56,28,16,
4/8/2001,0,6.21,31.5,19,
5/8/2001,0,5.51,32,16,
6/8/2001,0.01,5.93,31,18,
7/8/2001,0,7.35,32,19,
8/8/2001,0,7.61,32,19,
9/8/2001,0,9.72,32,18,
10/8/2001,0,6.32,32,17,
11/8/2001,1.3,3.46,31,17,
12/8/2001,1.1,2.46,30,19,
13/08/2001,0,7.49,31,16,
14/08/2001,0,7.69,32,17,
15/08/2001,0,9.08,34,16,
16/08/2001,0.01,4.64,33,17,
17/08/2001,0,7.45,32.5,17,
18/08/2001,0,8.29,34,19,
19/08/2001,0,8.46,35,16,
20/08/2001,0,8.71,33,16,
21/08/2001,0,7.43,33,16,
22/08/2001,0,7.12,32,17,
23/08/2001,0,7.49,31,17,
24/08/2001,3.2,0.02,29,17,
25/08/2001,4.2,1.7,31,18,
26/08/2001,4.5,NULO,29,18,
27/08/2001,8,NULO,26,18,
28/08/2001,17.5,NULO,29,19,
29/08/2001,69.4,NULO,32.5,18,
30/08/2001,1.7,0.89,29,17,
31/08/2001,27.8,NULO,31,18,
1/9/2001,14,NULO,30,18,
2/9/2001,0,6.78,32,17,
3/9/2001,0,6.52,33,18,
4/9/2001,0,6.78,33,18,
5/9/2001,0,6.95,32,17,
6/9/2001,0,7.01,33,17,
7/9/2001,0,4.87,33,18,
8/9/2001,0.01,7.09,35,17,
9/9/2001,0.01,6.57,33,18,
10/9/2001,3.5,NULO,26,18,
11/9/2001,0.01,1.51,28,18,
12/9/2001,0,7.71,30,17,
13/09/2001,0.01,5.23,29,17,
14/09/2001,0,4.27,27,17,
15/09/2001,0,5.28,30,14,
16/09/2001,0,6.4,32,13,
17/09/2001,0,6.65,31,13,
18/09/2001,0,8.46,32,13,
19/09/2001,0,5.32,33,16,
20/09/2001,0,6.78,32,17,
21/09/2001,0.01,5.73,31,17,
22/09/2001,2.3,1.92,29,17,
23/09/2001,4,NULO,25,17,
24/09/2001,1.1,0.54,23,18,
25/09/2001,0.01,0.14,21,16,
26/09/2001,0,3.84,25,14,
27/09/2001,0,4.01,27,15,
28/09/2001,0,6.56,29,14,
